Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
AAE;AAE-Aero & Astro Engineering;20000;Ugrad Sophomore Seminar;202610;Fall 2025;001;17446;Okonkwo, Adaeze A.;;;;;;;;;;;;;;;;;;;;95.0%;;4.4%;0.6%;
;;20300;Aeromechanics I;202610;Fall 2025;002;67031;Nakashima, Tomasz;7.9%;14.3%;3.2%;;15.9%;6.3%;15.9%;11.1%;;7.9%;1.6%;;7.9%;;4.8%;;;;;;;;3.2%;
;;;;;;003;13363;;10.1%;9.1%;6.1%;;14.1%;17.2%;11.1%;7.1%;5.1%;11.1%;2.0%;3.0%;3.0%;;;;;;;;;;1.0%;
;;;;;;004;27568;Bankole, Folasade;5.3%;13.7%;2.1%;;13.7%;8.4%;6.3%;15.8%;4.2%;13.7%;3.2%;3.2%;5.3%;;2.1%;;;;;;;;3.2%;
;;;;;;005;13873;Moretti, Mei-Lin J.;5.2%;8.3%;;;10.4%;10.4%;10.4%;14.6%;8.3%;11.5%;5.2%;;6.3%;;5.2%;;;;;;;;4.2%;
;;;;;;006;13874;Moretti, Mei-Lin J.;1.4%;5.8%;1.4%;;14.5%;11.6%;17.4%;11.6%;7.2%;15.9%;2.9%;;2.9%;;4.3%;;;;;;;;2.9%;
;;;Aeromechanics I-Honors;202610;Fall 2025;H01;22249;Castellanos, Hakim;16.0%;16.0%;48.0%;;8.0%;4.0%;8.0%;;;;;;;;;;;;;;;;;
;;20400;Aeromechanics II;202610;Fall 2025;001;10002;Sorensen, Ingrid;7.8%;17.2%;;;14.1%;18.8%;17.2%;12.5%;;6.3%;;;;;3.1%;;;;;;;;3.1%;
;;;;;;002;13878;Volkov, Rafael S.;;5.3%;2.6%;;15.8%;21.1%;28.9%;5.3%;;10.5%;;2.6%;2.6%;;;;;;;;;;5.3%;
;;20401;Aeromechanics II Lab;202610;Fall 2025;013;17203;Esparza, Yuki;58.3%;25.0%;8.3%;;;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;015;27141;Petrescu, Bartholomew;83.3%;;8.3%;;;;;;;;;;;;;;;;;;;;8.3%;
;;;;;;017;27143;Tsao, Nkechi B.;36.4%;;54.5%;;9.1%;;;;;;;;;;;;;;;;;;;
;;25100;Intro Aerospace Design;202610;Fall 2025;002;57302;Lindqvist, Soren;30.0%;42.0%;;;6.0%;3.0%;19.0%;;;;;;;;;;;;;;;;;
;;;;;;003;11910;Castellanos, Hakim;22.3%;48.9%;1.1%;;11.7%;2.1%;11.7%;;;2.1%;;;;;;;;;;;;;;
;;;;;;004;25083;Brandt, Priya;21.2%;63.6%;;;2.0%;;11.1%;;;;1.0%;;;;;;;;;;;;1.0%;
;;;;;;005;17054;Lindqvist, Soren;26.0%;50.0%;1.0%;;7.0%;1.0%;14.0%;;1.0%;;;;;;;;;;;;;;;
;;;Intro Aerospace Design-Honors;202610;Fall 2025;H01;22576;Asante, Dmitri K.;62.5%;25.0%;12.5%;;;;;;;;;;;;;;;;;;;;;
;;30000;Ugrad Junior Seminar;202610;Fall 2025;001;56743;Okonkwo, Adaeze A.;;;;;;;;;;;;;;;;;;;;94.6%;;4.6%;0.7%;
;;30100;Sig Anly For Aero Engr;202610;Fall 2025;001;10010;Wierzbicki, Leilani;14.9%;20.7%;2.3%;;23.0%;8.0%;13.8%;3.4%;2.3%;3.4%;3.4%;;;;;;;;;;;;4.6%;
;;;;;;002;13304;Quennell, Oluwaseun;31.0%;19.6%;7.0%;;15.8%;5.1%;15.8%;1.3%;1.3%;1.9%;0.6%;;;;;;;;;;;;0.6%;
;;33300;Fluid Mechanics;202610;Fall 2025;002;11528;de la Cruz, Ximena T.;7.2%;14.4%;7.2%;;13.6%;12.8%;19.2%;8.0%;4.8%;9.6%;0.8%;;;;0.8%;;;;;;;;1.6%;
;;;;;;003;13884;Iyer, Kwame;8.3%;8.3%;;;18.8%;8.3%;16.7%;12.5%;4.2%;18.8%;2.1%;;;;;;;;;;;;2.1%;
;;;;;;004;14762;Dahl, Anneliese;12.8%;6.4%;5.1%;;10.3%;10.3%;24.4%;16.7%;;12.8%;1.3%;;;;;;;;;;;;;
;;33301;Fluid Mechanics Lab;202610;Fall 2025;002;10013;Villanueva, Tariq C.;78.6%;;21.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;10014;Kealoha, Marisol;61.5%;7.7%;23.1%;;7.7%;;;;;;;;;;;;;;;;;;;
;;;;;;004;10015;Kealoha, Marisol;78.6%;;21.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;005;10016;Villanueva, Tariq C.;64.3%;;28.6%;;;;;;;;;;;;;;;;;;;;7.1%;
;;;;;;008;10019;Halvorsen, Björn;35.7%;7.1%;57.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;010;10021;Halvorsen, Björn;28.6%;14.3%;57.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;14928;Kealoha, Marisol;64.3%;7.1%;21.4%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;016;19021;Nwosu, Chiara L.;72.7%;;18.2%;;;;9.1%;;;;;;;;;;;;;;;;;
;;;;;;017;19022;Nwosu, Chiara L.;28.6%;14.3%;42.9%;;;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;019;15766;Halvorsen, Björn;42.9%;7.1%;35.7%;;;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;020;19906;Halvorsen, Björn;64.3%;;28.6%;;;;;;;;;;7.1%;;;;;;;;;;;
;;;;;;021;14331;Farrow, Ravi;35.7%;21.4%;35.7%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;023;17237;Farrow, Ravi;64.3%;;;;14.3%;7.1%;7.1%;7.1%;;;;;;;;;;;;;;;;
;;;;;;025;17240;Villanueva, Tariq C.;42.9%;;57.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;17241;Raghunathan, Estelle;35.7%;14.3%;50.0%;;;;;;;;;;;;;;;;;;;;;
